direction,Date,Price,size,structure,carry,managementFee
buy,"Sep 13, 2020",585,25000000,unspecified,null,null
buy,"Sep 14, 2020",589,25000000,unspecified,null,null
sell,"Sep 14, 2020",555,20000000,spv,10%,2%
buy,"Sep 15, 2020",635,10000000,unspecified,null,null
buy,"Sep 15, 2020",605,7000000,unspecified,null,null
sell,"Sep 15, 2020",565,20000000,spv,10%,1%
sell,"Sep 18, 2020",565,80000000,spv,20%,2%
buy,"Sep 22, 2020",615,20000000,unspecified,null,null
buy,"Sep 26, 2020",633,3000000,unspecified,null,null
sell,"Sep 26, 2020",633,15000000,spv,20%,0
buy,"Oct 4, 2020",624,40000000,unspecified,null,null
buy,"Oct 4, 2020",585,1000000,unspecified,null,null
sell,"Oct 4, 2020",571,200000000,spv,15%,0
sell,"Oct 6, 2020",555,30000000,spv,20%,2%
sell,"Oct 11, 2020",null,15000000,direct,null,null
buy,"Oct 11, 2020",655,15000000,unspecified,null,null
sell,"Oct 11, 2020",633,15000000,spv,20%,0
sell,"Oct 11, 2020",595,200000000,spv,10%,1%
sell,"Oct 11, 2020",565,80000000,spv,20%,2%
sell,"Oct 11, 2020",555,20000000,spv,10%,2%
buy,"Oct 12, 2020",615,100000000,unspecified,null,null
buy,"Oct 12, 2020",615,35000000,unspecified,null,null
sell,"Oct 12, 2020",589,5000000,spv,20%,0
sell,"Oct 12, 2020",585,150000000,spv,10%,1%
sell,"Oct 12, 2020",585,20000000,spv,13%,1%
sell,"Oct 12, 2020",585,20000000,spv,17.50%,0
sell,"Oct 12, 2020",565,20000000,spv,10%,1%
sell,"Oct 18, 2020",585,30000000,spv,15%,1%
sell,"Oct 23, 2020",555,100000000,spv,10%,1%
buy,"Oct 25, 2020",595,40000000,unspecified,null,null
buy,"Oct 31, 2020",null,15000000,unspecified,null,null
buy,"Nov 1, 2020",595,50000000,unspecified,null,null
buy,"Nov 1, 2020",571,20000000,unspecified,null,null
sell,"Nov 10, 2020",585,20000000,spv,17.50%,0
sell,"Nov 11, 2020",null,100000000,spv,10%,1%
sell,"Nov 11, 2020",575,100000000,spv,10%,1%
sell,"Nov 14, 2020",null,702000,forward,null,null
buy,"Nov 15, 2020",618.2,1249978,unspecified,null,null
buy,"Nov 15, 2020",615,1050000,unspecified,null,null
sell,"Nov 15, 2020",605,20000000,spv,10%,1%
sell,"Nov 16, 2020",657,100000000,spv,10%,1%
sell,"Nov 16, 2020",635,20000000,spv,10%,1%
sell,"Nov 16, 2020",635,18000000,spv,10%,0
sell,"Nov 16, 2020",597,38000000,spv,20%,2%
sell,"Nov 16, 2020",589,5000000,spv,20%,0
sell,"Nov 16, 2020",585,30000000,spv,15%,1%
buy,"Nov 22, 2020",690,2000000,unspecified,null,null
sell,"Nov 23, 2020",645,35000000,spv,15%,1.50%
buy,"Nov 23, 2020",633,3000000,unspecified,null,null
buy,"Nov 23, 2020",595,30000000,unspecified,null,null
sell,"Nov 30, 2020",600,50000000,spv,20%,2%
sell,"Dec 3, 2020",null,38000000,spv,20%,2%
sell,"Dec 3, 2020",null,100000000,spv,10%,1%
sell,"Dec 3, 2020",657,100000000,spv,10%,1%
sell,"Dec 4, 2020",665,30000000,spv,0,0
buy,"Dec 4, 2020",635,10000000,unspecified,null,null
buy,"Dec 4, 2020",625,20000000,unspecified,null,null
buy,"Dec 4, 2020",615,20000000,unspecified,null,null
buy,"Dec 4, 2020",615,2500000,unspecified,null,null
buy,"Dec 4, 2020",615,20000000,unspecified,null,null
buy,"Dec 4, 2020",605,17000000,unspecified,null,null
buy,"Dec 4, 2020",605,200000,unspecified,null,null
buy,"Dec 4, 2020",605,1000000,unspecified,null,null
buy,"Dec 4, 2020",605,50000000,unspecified,null,null
buy,"Dec 4, 2020",605,7000000,unspecified,null,null
buy,"Dec 4, 2020",605,10000000,unspecified,null,null
buy,"Dec 4, 2020",583,30000000,unspecified,null,null
buy,"Dec 4, 2020",565,1000000,unspecified,null,null
buy,"Dec 9, 2020",685,30000000,unspecified,null,null
sell,"Dec 9, 2020",645,35000000,spv,15%,1.50%
sell,"Dec 15, 2020",null,30000000,spv,20%,2%
sell,"Dec 15, 2020",635,20000000,spv,10%,1%
sell,"Dec 15, 2020",635,20000000,spv,10%,1%
buy,"Dec 20, 2020",665,20000000,unspecified,null,null
buy,"Dec 22, 2020",690,2000000,unspecified,null,null
buy,"Dec 22, 2020",655,15000000,unspecified,null,null
buy,"Dec 22, 2020",615,99990000,unspecified,null,null
sell,"Dec 27, 2020",null,20000000,spv,10%,1%
sell,"Dec 27, 2020",null,50000000,spv,20%,2%
sell,"Dec 27, 2020",null,20000000,spv,10%,1%
buy,"Dec 27, 2020",665,12000000,unspecified,null,null
buy,"Dec 27, 2020",655,15000000,unspecified,null,null
buy,"Dec 27, 2020",615,35000000,unspecified,null,null
sell,"Jan 3, 2021",655,40000000,spv,20%,0
sell,"Jan 5, 2021",755,40000000,spv,20%,0
buy,"Jan 5, 2021",725.4,40000000,unspecified,null,null
buy,"Jan 10, 2021",null,15000000,unspecified,null,null
buy,"Jan 10, 2021",695,50000000,unspecified,null,null
buy,"Jan 10, 2021",655,30000000,unspecified,null,null
buy,"Jan 10, 2021",595,30000000,unspecified,null,null
buy,"Jan 11, 2021",675,100000000,unspecified,null,null
sell,"Jan 12, 2021",690,150000000,spv,20%,1%
buy,"Jan 17, 2021",615,99990000,unspecified,null,null
sell,"Feb 7, 2021",855,50000000,spv,20%,1%
buy,"Feb 11, 2021",675,30000000,unspecified,null,null
buy,"Feb 11, 2021",655,30000000,unspecified,null,null
buy,"Feb 14, 2021",null,20000000,unspecified,null,null
sell,"Feb 14, 2021",null,864000,spv,0,0
sell,"Feb 14, 2021",null,40000000,spv,20%,0
sell,"Feb 14, 2021",null,150000000,spv,20%,1%
sell,"Feb 14, 2021",755,40000000,spv,20%,0
buy,"Feb 14, 2021",685,150000000,unspecified,null,null
buy,"Feb 14, 2021",595,40000000,unspecified,null,null
buy,"Feb 16, 2021",715,15000000,unspecified,null,null
sell,"Feb 23, 2021",855,20000000,spv,20%,1%
buy,"Feb 24, 2021",854.98,20000000,unspecified,null,null
sell,"Mar 4, 2021",855,20000000,spv,25%,2%
buy,"Mar 9, 2021",915,30000000,unspecified,null,null
buy,"Mar 9, 2021",715,15000000,unspecified,null,null
buy,"Mar 9, 2021",675,30000000,unspecified,null,null
buy,"Mar 13, 2021",null,50000000,unspecified,null,null
buy,"Mar 13, 2021",685,30000000,unspecified,null,null
buy,"Mar 13, 2021",665,20000000,unspecified,null,null
buy,"Mar 13, 2021",665,12000000,unspecified,null,null
buy,"Mar 13, 2021",655,15000000,unspecified,null,null
sell,"Mar 16, 2021",855,20000000,spv,25%,2%
sell,"Mar 19, 2021",954.78,120000000,spv,15%,1%
buy,"Apr 25, 2021",725.4,40000000,unspecified,null,null
buy,"Apr 25, 2021",695,50000000,unspecified,null,null
buy,"Apr 25, 2021",675,100000000,unspecified,null,null
sell,"May 2, 2021",855,20000000,spv,20%,1%
buy,"May 2, 2021",854.98,20000000,unspecified,null,null
buy,"May 11, 2021",1115,30000000,unspecified,null,null
buy,"May 15, 2021",915,30000000,unspecified,null,null
buy,"May 15, 2021",915,30000000,unspecified,null,null
sell,"May 20, 2021",1211.46,50000000,spv,20%,0
sell,"May 20, 2021",1199.5,50000000,spv,20%,0
sell,"May 20, 2021",1115,10000000,spv,20%,2%
sell,"May 20, 2021",1115,10000000,spv,20%,2%
sell,"May 23, 2021",null,7000000,spv,20%,2%
sell,"May 23, 2021",1315,40000000,spv,20%,0
sell,"May 24, 2021",1265,20000000,spv,20%,0
buy,"May 26, 2021",null,10000000,unspecified,null,null
